sample,spot_name,cluster
4,"spot1509","0"
4,"spot1511","1"
4,"spot1513","3"
4,"spot1514","4"
4,"spot1515","0"
4,"spot1516","4"
4,"spot1517","4"
4,"spot1518","3"
4,"spot1519","3"
4,"spot1521","4"
4,"spot1522","0"
4,"spot1523","3"
4,"spot1524","4"
4,"spot1525","3"
4,"spot1526","3"
4,"spot1527","0"
4,"spot1529","4"
4,"spot1530","3"
4,"spot1532","0"
4,"spot1535","0"
4,"spot1537","1"
4,"spot1538","1"
4,"spot1539","0"
4,"spot1540","0"
4,"spot1541","0"
4,"spot1542","3"
4,"spot1543","3"
4,"spot1544","1"
4,"spot1546","1"
4,"spot1547","3"
4,"spot1548","4"
4,"spot1549","0"
4,"spot1550","3"
4,"spot1551","1"
4,"spot1552","4"
4,"spot1553","4"
4,"spot1554","3"
4,"spot1555","4"
4,"spot1556","3"
4,"spot1557","0"
4,"spot1560","1"
4,"spot1562","0"
4,"spot1563","0"
4,"spot1564","1"
4,"spot1565","3"
4,"spot1566","0"
4,"spot1567","0"
4,"spot1568","4"
4,"spot1570","0"
4,"spot1571","3"
4,"spot1572","1"
4,"spot1573","4"
4,"spot1574","4"
4,"spot1576","1"
4,"spot1577","0"
4,"spot1579","4"
4,"spot1580","4"
4,"spot1581","0"
4,"spot1582","0"
4,"spot1583","3"
4,"spot1584","1"
4,"spot1585","3"
4,"spot1586","4"
4,"spot1587","3"
4,"spot1588","0"
4,"spot1590","4"
4,"spot1592","4"
4,"spot1594","1"
4,"spot1595","0"
4,"spot1596","0"
4,"spot1597","0"
4,"spot1598","3"
4,"spot1599","0"
4,"spot1600","4"
1,"spot101","4"
1,"spot102","0"
1,"spot103","0"
1,"spot104","1"
1,"spot105","1"
1,"spot106","4"
1,"spot107","4"
1,"spot108","3"
1,"spot109","4"
1,"spot110","4"
1,"spot111","0"
1,"spot112","0"
1,"spot113","3"
1,"spot114","3"
1,"spot115","4"
1,"spot116","0"
1,"spot117","0"
1,"spot118","0"
1,"spot119","0"
1,"spot120","4"
1,"spot121","4"
1,"spot122","0"
1,"spot123","0"
1,"spot124","0"
1,"spot125","3"
1,"spot126","0"
1,"spot127","0"
1,"spot128","0"
1,"spot129","0"
1,"spot130","0"
1,"spot131","0"
1,"spot132","0"
1,"spot133","0"
1,"spot134","0"
1,"spot135","0"
1,"spot136","0"
1,"spot137","0"
1,"spot138","0"
1,"spot139","3"
1,"spot140","0"
1,"spot141","3"
1,"spot142","4"
1,"spot143","0"
1,"spot144","0"
1,"spot145","0"
1,"spot146","0"
1,"spot147","0"
1,"spot148","0"
1,"spot149","0"
1,"spot150","3"
1,"spot151","0"
1,"spot152","3"
1,"spot153","0"
1,"spot154","0"
1,"spot155","3"
1,"spot156","0"
1,"spot157","4"
1,"spot158","0"
1,"spot159","0"
1,"spot160","0"
1,"spot161","0"
1,"spot162","4"
1,"spot163","0"
1,"spot164","0"
1,"spot165","0"
1,"spot166","0"
1,"spot167","0"
1,"spot168","0"
1,"spot169","3"
1,"spot170","4"
1,"spot171","0"
1,"spot172","4"
1,"spot173","0"
1,"spot174","0"
1,"spot175","4"
1,"spot176","0"
1,"spot177","0"
1,"spot178","3"
1,"spot179","0"
1,"spot180","0"
1,"spot181","4"
1,"spot182","0"
1,"spot183","0"
1,"spot184","0"
1,"spot185","0"
1,"spot186","4"
1,"spot187","0"
1,"spot188","3"
1,"spot189","0"
1,"spot190","0"
1,"spot191","0"
1,"spot192","0"
1,"spot193","0"
1,"spot194","0"
1,"spot195","0"
1,"spot196","0"
1,"spot197","0"
1,"spot198","0"
1,"spot199","0"
1,"spot200","3"
2,"spot601","0"
2,"spot602","0"
2,"spot603","4"
2,"spot604","0"
2,"spot605","0"
2,"spot606","4"
2,"spot607","0"
2,"spot608","0"
2,"spot609","0"
2,"spot610","0"
2,"spot611","0"
2,"spot612","0"
2,"spot613","4"
2,"spot614","0"
2,"spot615","0"
2,"spot616","4"
2,"spot617","0"
2,"spot618","0"
2,"spot619","1"
2,"spot620","2"
2,"spot621","2"
2,"spot622","2"
2,"spot623","2"
2,"spot624","2"
2,"spot625","2"
2,"spot626","2"
2,"spot627","2"
2,"spot628","2"
2,"spot629","1"
2,"spot630","2"
2,"spot631","1"
2,"spot632","2"
2,"spot633","2"
