V1,sample,spot_name,cluster
266,1,spot266_1,4
267,1,spot267_1,4
268,1,spot268_1,2
269,1,spot269_1,4
270,1,spot270_1,2
271,1,spot271_1,2
272,1,spot272_1,3
273,1,spot273_1,4
274,1,spot274_1,3
275,1,spot275_1,4
276,1,spot276_1,4
277,1,spot277_1,3
278,1,spot278_1,4
279,1,spot279_1,2
280,1,spot280_1,4
281,1,spot281_1,3
282,1,spot282_1,4
283,1,spot283_1,3
284,1,spot284_1,2
285,1,spot285_1,4
286,1,spot286_1,4
287,1,spot287_1,4
288,1,spot288_1,4
289,1,spot289_1,3
290,1,spot290_1,4
291,1,spot291_1,4
292,1,spot292_1,3
293,1,spot293_1,2
294,1,spot294_1,3
295,1,spot295_1,4
296,1,spot296_1,2
297,1,spot297_1,3
298,1,spot298_1,3
299,1,spot299_1,2
300,1,spot300_1,3
301,1,spot301_1,2
302,1,spot302_1,4
303,1,spot303_1,2
304,1,spot304_1,2
305,1,spot305_1,1
306,1,spot306_1,4
307,1,spot307_1,2
308,1,spot308_1,1
309,1,spot309_1,4
310,1,spot310_1,3
311,1,spot311_1,3
312,1,spot312_1,4
313,1,spot313_1,2
314,1,spot314_1,2
315,1,spot315_1,4
316,1,spot316_1,2
317,1,spot317_1,4
318,1,spot318_1,2
319,1,spot319_1,2
320,1,spot320_1,2
321,1,spot321_1,4
322,1,spot322_1,3
323,1,spot323_1,3
324,1,spot324_1,3
325,1,spot325_1,4
326,1,spot326_1,4
327,1,spot327_1,4
328,1,spot328_1,3
329,1,spot329_1,1
330,1,spot330_1,4
331,1,spot331_1,3
332,1,spot332_1,4
333,1,spot333_1,4
334,1,spot334_1,3
335,1,spot335_1,3
336,1,spot336_1,1
337,1,spot337_1,1
338,1,spot338_1,3
339,1,spot339_1,4
340,1,spot340_1,4
341,1,spot341_1,3
342,1,spot342_1,1
343,1,spot343_1,2
344,1,spot344_1,4
345,1,spot345_1,3
346,1,spot346_1,3
347,1,spot347_1,3
348,1,spot348_1,3
349,1,spot349_1,4
350,1,spot350_1,4
351,1,spot351_1,2
352,1,spot352_1,1
353,1,spot353_1,2
354,1,spot354_1,2
355,1,spot355_1,2
356,1,spot356_1,2
357,1,spot357_1,4
358,1,spot358_1,3
359,1,spot359_1,2
360,1,spot360_1,4
361,1,spot361_1,4
362,1,spot362_1,3
363,1,spot363_1,3
364,1,spot364_1,2
365,1,spot365_1,1
366,1,spot366_1,3
367,1,spot367_1,4
368,1,spot368_1,2
369,1,spot369_1,4
370,1,spot370_1,2
371,1,spot371_1,3
372,1,spot372_1,4
373,1,spot373_1,3
374,1,spot374_1,2
375,1,spot375_1,2
376,1,spot376_1,2
377,1,spot377_1,3
378,1,spot378_1,3
379,1,spot379_1,4
380,1,spot380_1,3
381,1,spot381_1,4
382,1,spot382_1,4
383,1,spot383_1,4
384,1,spot384_1,3
385,1,spot385_1,3
386,1,spot386_1,1
387,1,spot387_1,2
388,1,spot388_1,4
389,1,spot389_1,4
390,1,spot390_1,3
391,1,spot391_1,3
392,1,spot392_1,1
393,1,spot393_1,3
394,1,spot394_1,2
395,1,spot395_1,3
396,1,spot396_1,3
397,1,spot397_1,4
398,1,spot398_1,2
399,1,spot399_1,4
400,1,spot400_1,2
401,1,spot401_1,3
402,1,spot402_1,4
403,1,spot403_1,2
404,1,spot404_1,2
405,1,spot405_1,4
406,1,spot406_1,4
407,1,spot407_1,3
408,1,spot408_1,2
409,1,spot409_1,4
410,1,spot410_1,4
411,1,spot411_1,4
412,1,spot412_1,4
413,1,spot413_1,4
414,1,spot414_1,3
415,1,spot415_1,3
416,1,spot416_1,3
417,1,spot417_1,4
418,1,spot418_1,4
419,1,spot419_1,3
420,1,spot420_1,4
421,1,spot421_1,3
422,1,spot422_1,4
423,1,spot423_1,3
424,1,spot424_1,4
425,1,spot425_1,3
426,1,spot426_1,2
427,1,spot427_1,4
428,1,spot428_1,2
429,1,spot429_1,4
430,1,spot430_1,4
431,1,spot431_1,3
432,1,spot432_1,3
433,1,spot433_1,4
434,1,spot434_1,3
435,1,spot435_1,4
436,1,spot436_1,4
437,1,spot437_1,3
438,1,spot438_1,3
439,1,spot439_1,1
440,1,spot440_1,4
441,1,spot441_1,2
442,1,spot442_1,4
443,1,spot443_1,4
444,1,spot444_1,3
445,1,spot445_1,4
446,1,spot446_1,4
447,1,spot447_1,3
448,1,spot448_1,2
449,1,spot449_1,3
