V1,sample,spot_name,cluster
266,1,spot266_1,1
267,1,spot267_1,1
268,1,spot268_1,3
269,1,spot269_1,1
270,1,spot270_1,1
271,1,spot271_1,1
272,1,spot272_1,1
273,1,spot273_1,1
274,1,spot274_1,1
275,1,spot275_1,1
276,1,spot276_1,1
277,1,spot277_1,1
278,1,spot278_1,1
279,1,spot279_1,3
280,1,spot280_1,1
281,1,spot281_1,1
282,1,spot282_1,1
283,1,spot283_1,1
284,1,spot284_1,1
285,1,spot285_1,1
286,1,spot286_1,1
287,1,spot287_1,1
288,1,spot288_1,1
289,1,spot289_1,1
290,1,spot290_1,3
291,1,spot291_1,1
292,1,spot292_1,1
293,1,spot293_1,1
294,1,spot294_1,1
295,1,spot295_1,1
296,1,spot296_1,1
297,1,spot297_1,1
298,1,spot298_1,1
299,1,spot299_1,1
300,1,spot300_1,1
301,1,spot301_1,3
302,1,spot302_1,1
303,1,spot303_1,1
304,1,spot304_1,1
305,1,spot305_1,1
306,1,spot306_1,1
307,1,spot307_1,1
308,1,spot308_1,1
309,1,spot309_1,1
310,1,spot310_1,1
311,1,spot311_1,1
312,1,spot312_1,3
313,1,spot313_1,4
314,1,spot314_1,1
315,1,spot315_1,1
316,1,spot316_1,1
317,1,spot317_1,1
318,1,spot318_1,1
319,1,spot319_1,1
320,1,spot320_1,1
321,1,spot321_1,1
322,1,spot322_1,1
323,1,spot323_1,3
324,1,spot324_1,1
325,1,spot325_1,1
326,1,spot326_1,1
327,1,spot327_1,1
328,1,spot328_1,1
329,1,spot329_1,2
330,1,spot330_1,1
331,1,spot331_1,1
332,1,spot332_1,1
333,1,spot333_1,1
334,1,spot334_1,3
335,1,spot335_1,3
336,1,spot336_1,1
337,1,spot337_1,3
338,1,spot338_1,1
339,1,spot339_1,3
340,1,spot340_1,3
341,1,spot341_1,1
342,1,spot342_1,3
343,1,spot343_1,3
344,1,spot344_1,3
345,1,spot345_1,3
346,1,spot346_1,3
347,1,spot347_1,3
348,1,spot348_1,3
349,1,spot349_1,3
350,1,spot350_1,3
351,1,spot351_1,3
352,1,spot352_1,3
353,1,spot353_1,3
354,1,spot354_1,3
355,1,spot355_1,3
356,1,spot356_1,3
357,1,spot357_1,3
358,1,spot358_1,1
359,1,spot359_1,3
360,1,spot360_1,1
361,1,spot361_1,3
362,1,spot362_1,3
363,1,spot363_1,3
364,1,spot364_1,3
365,1,spot365_1,1
366,1,spot366_1,3
367,1,spot367_1,3
368,1,spot368_1,3
369,1,spot369_1,3
370,1,spot370_1,1
371,1,spot371_1,3
372,1,spot372_1,3
373,1,spot373_1,3
374,1,spot374_1,3
375,1,spot375_1,3
376,1,spot376_1,1
377,1,spot377_1,3
378,1,spot378_1,3
379,1,spot379_1,3
380,1,spot380_1,3
381,1,spot381_1,3
382,1,spot382_1,3
383,1,spot383_1,3
384,1,spot384_1,1
385,1,spot385_1,3
386,1,spot386_1,3
387,1,spot387_1,3
388,1,spot388_1,3
389,1,spot389_1,3
390,1,spot390_1,3
391,1,spot391_1,3
392,1,spot392_1,3
393,1,spot393_1,3
394,1,spot394_1,3
395,1,spot395_1,3
396,1,spot396_1,3
397,1,spot397_1,3
398,1,spot398_1,3
399,1,spot399_1,3
400,1,spot400_1,3
401,1,spot401_1,3
402,1,spot402_1,3
403,1,spot403_1,3
404,1,spot404_1,3
405,1,spot405_1,3
406,1,spot406_1,3
407,1,spot407_1,1
408,1,spot408_1,3
409,1,spot409_1,3
410,1,spot410_1,3
411,1,spot411_1,3
412,1,spot412_1,3
413,1,spot413_1,3
414,1,spot414_1,3
415,1,spot415_1,3
416,1,spot416_1,1
417,1,spot417_1,3
418,1,spot418_1,3
419,1,spot419_1,3
420,1,spot420_1,3
421,1,spot421_1,1
422,1,spot422_1,3
423,1,spot423_1,3
424,1,spot424_1,3
425,1,spot425_1,3
426,1,spot426_1,3
427,1,spot427_1,3
428,1,spot428_1,3
429,1,spot429_1,3
430,1,spot430_1,3
431,1,spot431_1,3
432,1,spot432_1,3
433,1,spot433_1,3
434,1,spot434_1,3
435,1,spot435_1,3
436,1,spot436_1,3
437,1,spot437_1,3
438,1,spot438_1,3
439,1,spot439_1,3
440,1,spot440_1,3
441,1,spot441_1,3
442,1,spot442_1,3
443,1,spot443_1,3
444,1,spot444_1,3
445,1,spot445_1,3
446,1,spot446_1,3
447,1,spot447_1,3
448,1,spot448_1,3
449,1,spot449_1,3
450,1,spot450_1,3
451,1,spot451_1,3
452,1,spot452_1,3
453,1,spot453_1,3
454,1,spot454_1,3
455,1,spot455_1,3
456,1,spot456_1,3
457,1,spot457_1,3
458,1,spot458_1,3
459,1,spot459_1,3
460,1,spot460_1,3
461,1,spot461_1,3
462,1,spot462_1,3
463,1,spot463_1,3
464,1,spot464_1,3
465,1,spot465_1,3
466,1,spot466_1,3
467,1,spot467_1,3
468,1,spot468_1,3
469,1,spot469_1,3
470,1,spot470_1,3
471,1,spot471_1,3
472,1,spot472_1,3
473,1,spot473_1,3
474,1,spot474_1,3
475,1,spot475_1,3
476,1,spot476_1,3
477,1,spot477_1,3
478,1,spot478_1,3
479,1,spot479_1,3
480,1,spot480_1,3
481,1,spot481_1,3
482,1,spot482_1,3
483,1,spot483_1,3
484,1,spot484_1,3
485,1,spot485_1,3
486,1,spot486_1,3
487,1,spot487_1,3
488,1,spot488_1,3
489,1,spot489_1,3
490,1,spot490_1,3
491,1,spot491_1,3
492,1,spot492_1,3
493,1,spot493_1,3
494,1,spot494_1,3
495,1,spot495_1,3
496,1,spot496_1,3
497,1,spot497_1,3
498,1,spot498_1,3
499,1,spot499_1,3
500,1,spot500_1,3
501,3,spot1001_3,4
502,3,spot1002_3,4
503,3,spot1003_3,4
504,3,spot1004_3,4
505,3,spot1005_3,4
506,3,spot1006_3,4
507,3,spot1007_3,4
508,3,spot1008_3,4
509,3,spot1009_3,4
510,3,spot1010_3,4
511,3,spot1011_3,4
512,3,spot1012_3,4
513,3,spot1013_3,4
514,3,spot1014_3,4
515,3,spot1015_3,4
516,3,spot1016_3,4
517,3,spot1017_3,4
518,3,spot1018_3,4
519,3,spot1019_3,4
520,3,spot1020_3,4
521,3,spot1021_3,4
522,3,spot1022_3,4
523,3,spot1023_3,4
524,3,spot1024_3,4
525,3,spot1025_3,4
526,3,spot1026_3,4
527,3,spot1027_3,4
528,3,spot1028_3,4
529,3,spot1029_3,4
530,3,spot1030_3,4
531,3,spot1031_3,4
532,3,spot1032_3,4
533,3,spot1033_3,4
534,3,spot1034_3,4
535,3,spot1035_3,4
536,3,spot1036_3,4
537,3,spot1037_3,4
538,3,spot1038_3,4
539,3,spot1039_3,4
540,3,spot1040_3,4
541,3,spot1041_3,4
542,3,spot1042_3,4
543,3,spot1043_3,4
544,3,spot1044_3,4
545,3,spot1045_3,4
546,3,spot1046_3,4
547,3,spot1047_3,4
548,3,spot1048_3,4
549,3,spot1049_3,4
550,3,spot1050_3,4
551,3,spot1051_3,4
552,3,spot1052_3,4
553,3,spot1053_3,4
554,3,spot1054_3,4
555,3,spot1055_3,4
556,3,spot1056_3,4
557,3,spot1057_3,4
558,3,spot1058_3,4
559,3,spot1059_3,4
560,3,spot1060_3,4
561,3,spot1061_3,4
562,3,spot1062_3,4
563,3,spot1063_3,4
564,3,spot1064_3,4
565,3,spot1065_3,4
566,3,spot1066_3,4
567,3,spot1067_3,4
568,3,spot1068_3,4
569,3,spot1069_3,4
570,3,spot1070_3,4
571,3,spot1071_3,4
572,3,spot1072_3,4
573,3,spot1073_3,4
574,3,spot1074_3,4
575,3,spot1075_3,4
576,3,spot1076_3,4
577,3,spot1077_3,4
578,3,spot1078_3,4
579,3,spot1079_3,4
580,3,spot1080_3,4
581,3,spot1081_3,4
582,3,spot1082_3,4
583,3,spot1083_3,4
584,3,spot1084_3,4
585,3,spot1085_3,4
586,3,spot1086_3,4
587,3,spot1087_3,4
588,3,spot1088_3,4
589,3,spot1089_3,4
590,3,spot1090_3,4
591,3,spot1091_3,4
592,3,spot1092_3,4
593,3,spot1093_3,4
594,3,spot1094_3,4
595,3,spot1095_3,4
596,3,spot1096_3,4
597,3,spot1097_3,4
598,3,spot1098_3,4
599,3,spot1099_3,4
600,3,spot1100_3,4
601,3,spot1101_3,2
602,3,spot1102_3,1
603,3,spot1103_3,2
604,3,spot1104_3,2
605,3,spot1105_3,2
606,3,spot1106_3,2
607,3,spot1107_3,2
608,3,spot1108_3,1
609,3,spot1109_3,2
610,3,spot1110_3,2
611,3,spot1111_3,2
612,3,spot1112_3,2
613,3,spot1113_3,2
614,3,spot1114_3,2
615,3,spot1115_3,2
616,3,spot1116_3,2
617,3,spot1117_3,2
618,3,spot1118_3,2
619,3,spot1119_3,4
620,3,spot1120_3,2
621,3,spot1121_3,2
622,3,spot1122_3,2
623,3,spot1123_3,2
624,3,spot1124_3,2
625,3,spot1125_3,2
626,3,spot1126_3,1
627,3,spot1127_3,2
628,3,spot1128_3,2
629,3,spot1129_3,2
630,3,spot1130_3,2
