"sample","spot_name","cluster"
1,"spot121","3"
1,"spot122","3"
1,"spot123","6"
1,"spot124","6"
1,"spot125","6"
1,"spot126","3"
1,"spot127","3"
1,"spot128","6"
1,"spot129","1"
1,"spot130","6"
1,"spot131","1"
1,"spot132","3"
1,"spot133","3"
1,"spot134","3"
1,"spot135","3"
1,"spot136","3"
1,"spot137","3"
1,"spot138","3"
1,"spot139","3"
1,"spot140","3"
1,"spot141","3"
1,"spot142","6"
1,"spot143","0"
1,"spot144","1"
1,"spot145","3"
1,"spot146","3"
1,"spot147","3"
1,"spot148","3"
1,"spot149","6"
1,"spot150","3"
1,"spot151","1"
1,"spot152","1"
1,"spot153","1"
1,"spot154","3"
1,"spot155","3"
1,"spot156","6"
1,"spot157","6"
1,"spot158","3"
1,"spot159","3"
1,"spot160","3"
1,"spot161","0"
1,"spot162","6"
1,"spot163","3"
1,"spot164","3"
1,"spot165","3"
1,"spot166","3"
1,"spot167","3"
1,"spot168","1"
1,"spot169","6"
1,"spot170","1"
1,"spot171","1"
1,"spot172","6"
1,"spot173","3"
1,"spot174","1"
1,"spot175","1"
1,"spot176","3"
1,"spot177","3"
1,"spot178","3"
1,"spot179","3"
1,"spot180","3"
1,"spot181","3"
1,"spot182","3"
1,"spot183","1"
1,"spot184","3"
1,"spot185","3"
1,"spot186","1"
1,"spot187","1"
1,"spot188","3"
1,"spot189","6"
1,"spot190","3"
1,"spot191","3"
1,"spot192","3"
1,"spot193","1"
1,"spot194","3"
1,"spot195","3"
1,"spot196","3"
1,"spot197","1"
1,"spot198","0"
1,"spot199","3"
1,"spot200","3"
3,"spot1101","1"
3,"spot1102","3"
3,"spot1103","3"
3,"spot1104","1"
3,"spot1105","1"
3,"spot1106","6"
3,"spot1107","6"
3,"spot1108","3"
3,"spot1109","3"
3,"spot1110","1"
3,"spot1111","3"
3,"spot1112","3"
3,"spot1113","1"
3,"spot1114","1"
3,"spot1115","3"
3,"spot1116","3"
3,"spot1117","3"
3,"spot1118","3"
3,"spot1119","3"
3,"spot1120","3"
3,"spot1121","1"
3,"spot1122","3"
3,"spot1123","3"
3,"spot1124","3"
3,"spot1125","1"
3,"spot1126","1"
3,"spot1127","1"
3,"spot1128","1"
3,"spot1129","1"
3,"spot1130","3"
3,"spot1131","1"
3,"spot1132","1"
3,"spot1133","1"
3,"spot1134","1"
3,"spot1135","1"
3,"spot1136","1"
3,"spot1137","3"
3,"spot1138","1"
3,"spot1139","1"
3,"spot1140","3"
3,"spot1141","3"
3,"spot1142","1"
3,"spot1143","1"
3,"spot1144","3"
3,"spot1145","1"
3,"spot1146","1"
3,"spot1147","1"
3,"spot1148","1"
3,"spot1149","1"
3,"spot1150","1"
3,"spot1151","1"
3,"spot1152","1"
3,"spot1153","1"
3,"spot1154","3"
3,"spot1155","1"
3,"spot1156","1"
3,"spot1157","1"
3,"spot1158","1"
3,"spot1159","3"
3,"spot1160","1"
3,"spot1161","1"
3,"spot1162","3"
3,"spot1163","3"
3,"spot1164","1"
3,"spot1165","1"
3,"spot1166","1"
3,"spot1167","1"
3,"spot1168","2"
3,"spot1169","1"
3,"spot1170","1"
3,"spot1171","3"
3,"spot1172","3"
3,"spot1173","1"
3,"spot1174","3"
3,"spot1175","1"
3,"spot1176","1"
3,"spot1177","1"
3,"spot1178","1"
3,"spot1179","1"
3,"spot1180","3"
3,"spot1181","1"
3,"spot1182","1"
3,"spot1183","1"
3,"spot1184","1"
3,"spot1185","1"
3,"spot1186","1"
3,"spot1187","1"
3,"spot1188","3"
3,"spot1189","1"
3,"spot1190","3"
3,"spot1191","1"
3,"spot1192","1"
3,"spot1193","1"
3,"spot1194","1"
3,"spot1195","1"
3,"spot1196","1"
3,"spot1197","1"
3,"spot1198","1"
3,"spot1199","1"
3,"spot1200","1"
4,"spot1601","1"
4,"spot1603","1"
4,"spot1605","1"
4,"spot1607","1"
4,"spot1608","3"
4,"spot1609","1"
4,"spot1610","1"
4,"spot1611","3"
4,"spot1612","1"
4,"spot1613","1"
4,"spot1614","1"
4,"spot1615","1"
4,"spot1616","1"
4,"spot1617","1"
4,"spot1619","2"
4,"spot1621","1"
4,"spot1622","1"
4,"spot1623","3"
4,"spot1624","1"
4,"spot1626","1"
4,"spot1627","4"
4,"spot1628","5"
4,"spot1629","5"
4,"spot1630","4"
4,"spot1631","4"
4,"spot1632","5"
4,"spot1633","4"
4,"spot1635","4"
4,"spot1636","5"
4,"spot1637","5"
4,"spot1638","4"
4,"spot1639","5"
4,"spot1640","4"
4,"spot1641","4"
4,"spot1642","4"
4,"spot1643","5"
4,"spot1644","4"
4,"spot1645","4"
4,"spot1646","5"
4,"spot1648","4"
4,"spot1649","5"
4,"spot1650","4"
4,"spot1651","4"
4,"spot1652","5"
4,"spot1653","5"
4,"spot1654","4"
4,"spot1655","4"
4,"spot1656","4"
4,"spot1657","4"
4,"spot1658","4"
4,"spot1659","5"
4,"spot1660","5"
4,"spot1662","4"
4,"spot1663","4"
4,"spot1664","5"
4,"spot1665","4"
4,"spot1666","5"
4,"spot1667","4"
4,"spot1668","4"
4,"spot1669","4"
4,"spot1670","4"
4,"spot1672","5"
4,"spot1674","4"
4,"spot1675","5"
4,"spot1676","4"
4,"spot1677","5"
4,"spot1678","4"
4,"spot1679","5"
4,"spot1680","4"
4,"spot1681","5"
4,"spot1683","5"
4,"spot1684","4"
4,"spot1685","5"
4,"spot1686","5"
4,"spot1687","4"
4,"spot1688","4"
4,"spot1689","4"
4,"spot1690","4"
4,"spot1691","5"
4,"spot1692","4"
4,"spot1693","4"
4,"spot1694","4"
4,"spot1696","4"
4,"spot1697","4"
4,"spot1698","4"
4,"spot1699","5"
4,"spot1700","5"
1,"spot201","4"
1,"spot202","4"
1,"spot203","4"
1,"spot204","5"
1,"spot205","5"
1,"spot206","4"
1,"spot207","4"
1,"spot208","4"
1,"spot209","5"
1,"spot210","4"
1,"spot211","4"
1,"spot212","4"
1,"spot213","4"
1,"spot214","5"
1,"spot215","5"
1,"spot216","4"
1,"spot217","4"
1,"spot218","4"
1,"spot219","4"
1,"spot220","5"
1,"spot221","5"
1,"spot222","4"
1,"spot223","5"
1,"spot224","4"
1,"spot225","4"
1,"spot226","4"
1,"spot227","4"
1,"spot228","4"
1,"spot229","4"
1,"spot230","4"
1,"spot231","5"
1,"spot232","4"
1,"spot233","4"
1,"spot234","4"
1,"spot235","2"
1,"spot236","4"
1,"spot237","4"
1,"spot238","4"
1,"spot239","4"
1,"spot240","4"
1,"spot241","2"
1,"spot242","4"
1,"spot243","4"
1,"spot244","2"
1,"spot245","4"
1,"spot246","4"
1,"spot247","4"
1,"spot248","2"
1,"spot249","0"
1,"spot250","2"
1,"spot251","4"
1,"spot252","4"
1,"spot253","2"
1,"spot254","4"
1,"spot255","4"
1,"spot256","4"
1,"spot257","4"
1,"spot258","2"
1,"spot259","2"
1,"spot260","4"
1,"spot261","5"
1,"spot262","4"
1,"spot263","4"
1,"spot264","4"
1,"spot265","4"
1,"spot266","2"
1,"spot267","4"
1,"spot268","2"
1,"spot269","4"
1,"spot270","4"
1,"spot271","2"
1,"spot272","2"
1,"spot273","4"
1,"spot274","4"
1,"spot275","4"
1,"spot276","2"
1,"spot277","4"
1,"spot278","2"
1,"spot279","4"
1,"spot280","4"
1,"spot281","2"
1,"spot282","2"
1,"spot283","4"
1,"spot284","4"
1,"spot285","4"
1,"spot286","2"
1,"spot287","2"
1,"spot288","2"
1,"spot289","4"
1,"spot290","4"
1,"spot291","4"
1,"spot292","2"
1,"spot293","0"
1,"spot294","2"
1,"spot295","6"
1,"spot296","4"
1,"spot297","2"
1,"spot298","4"
1,"spot299","4"
1,"spot300","2"
1,"spot301","2"
1,"spot302","4"
1,"spot303","4"
1,"spot304","2"
1,"spot305","4"
1,"spot306","2"
1,"spot307","4"
1,"spot308","2"
1,"spot309","4"
1,"spot310","2"
1,"spot311","4"
1,"spot312","5"
1,"spot313","4"
1,"spot314","3"
1,"spot315","4"
1,"spot316","4"
1,"spot317","4"
1,"spot318","2"
1,"spot319","4"
1,"spot320","2"
1,"spot321","4"
1,"spot322","4"
1,"spot323","2"
1,"spot324","2"
1,"spot325","0"
1,"spot326","2"
1,"spot327","4"
1,"spot328","4"
1,"spot329","4"
1,"spot330","2"
1,"spot331","4"
1,"spot332","4"
1,"spot333","4"
1,"spot334","2"
1,"spot335","2"
1,"spot336","2"
1,"spot337","2"
1,"spot338","2"
1,"spot339","2"
1,"spot340","2"
1,"spot341","2"
1,"spot342","2"
1,"spot343","2"
1,"spot344","2"
1,"spot345","2"
1,"spot346","4"
1,"spot347","0"
1,"spot348","2"
1,"spot349","2"
1,"spot350","2"
1,"spot351","2"
1,"spot352","2"
1,"spot353","2"
1,"spot354","2"
1,"spot355","2"
1,"spot356","2"
1,"spot357","2"
1,"spot358","2"
1,"spot359","2"
1,"spot360","4"
1,"spot361","2"
1,"spot362","2"
1,"spot363","2"
1,"spot364","2"
1,"spot365","2"
1,"spot366","2"
1,"spot367","2"
1,"spot368","2"
1,"spot369","2"
1,"spot370","2"
1,"spot371","2"
1,"spot372","2"
1,"spot373","2"
1,"spot374","2"
1,"spot375","3"
1,"spot376","2"
1,"spot377","2"
1,"spot378","2"
1,"spot379","2"
1,"spot380","2"
1,"spot381","2"
1,"spot382","2"
1,"spot383","4"
1,"spot384","2"
1,"spot385","4"
1,"spot386","2"
1,"spot387","2"
1,"spot388","1"
1,"spot389","2"
1,"spot390","2"
1,"spot391","2"
1,"spot392","2"
1,"spot393","4"
1,"spot394","2"
1,"spot395","2"
1,"spot396","1"
1,"spot397","2"
1,"spot398","2"
1,"spot399","4"
1,"spot400","2"
3,"spot1201","2"
3,"spot1202","2"
3,"spot1203","2"
3,"spot1204","4"
3,"spot1205","2"
3,"spot1206","2"
3,"spot1207","2"
3,"spot1208","2"
3,"spot1209","2"
3,"spot1210","2"
3,"spot1211","2"
3,"spot1212","2"
3,"spot1213","2"
3,"spot1214","2"
3,"spot1215","2"
3,"spot1216","2"
3,"spot1217","2"
3,"spot1218","2"
3,"spot1219","2"
3,"spot1220","4"
3,"spot1221","4"
3,"spot1222","2"
3,"spot1223","2"
3,"spot1224","4"
3,"spot1225","2"
3,"spot1226","2"
3,"spot1227","4"
3,"spot1228","2"
3,"spot1229","2"
3,"spot1230","2"
3,"spot1231","2"
3,"spot1232","2"
3,"spot1233","2"
3,"spot1234","2"
3,"spot1235","2"
3,"spot1236","2"
3,"spot1237","2"
3,"spot1238","2"
3,"spot1239","2"
3,"spot1240","2"
3,"spot1241","2"
3,"spot1242","1"
3,"spot1243","2"
3,"spot1244","2"
3,"spot1245","2"
3,"spot1246","2"
3,"spot1247","4"
